device,shannon_mean,shannon_std,shannon_min,shannon_max,shannon_median,shannon_q25,shannon_q75,shannon_count,renyi_mean,renyi_std,renyi_min,renyi_max,renyi_median,renyi_q25,renyi_q75,renyi_count,tsallis_mean,tsallis_std,tsallis_min,tsallis_max,tsallis_median,tsallis_q25,tsallis_q75,tsallis_count
apple-tv,0.889217733363468,0.020697451706652686,0.041246785529615,0.9134220633168058,0.8902744381104697,0.8871876654291224,0.8934040989853402,1405560,0.8659185615107207,0.022355992467053817,0.0178004728436094,0.8896639223528339,0.8671492158633015,0.8641934847969122,0.8700487381951632,1405560,0.9915843251186685,0.006901152728259299,0.0939916716240333,0.992797624057619,0.9918398789275268,0.991705032053662,0.9919700312174818,1405560
eufy-cam,0.753548322691908,0.20793630017351952,-0.0,0.9070970598047304,0.8838819355008954,0.5950632430320602,0.8901885503319686,33536,0.7224622139451896,0.2172041273284265,-0.0,0.883098128235328,0.8606933823839045,0.5617486050842082,0.8669600578216292,33536,0.947945163241553,0.12048926546327417,0.0,0.9925305642782872,0.991542465098344,0.955621301775148,0.9918313151643151,33536
fire-tv,0.7969819991325793,0.15729947197427727,0.1083408411089102,0.9064892250907982,0.8850238579554431,0.7812811528422319,0.8908980849797346,7161,0.7580233893511664,0.17959432112909124,0.050666687662318,0.8829555110758717,0.8619744392749675,0.7215602913270207,0.8676650671359586,7161,0.9691097870900962,0.05543458674087441,0.2449382716049382,0.9925246548323472,0.9916023318963868,0.9817059581167672,0.991863187493666,7161
homepod,0.8898021969581763,0.015058341066897728,0.1014097655573916,0.912266038993954,0.8902988553011691,0.8872134623590096,0.8934203171830671,767196,0.8665633819579422,0.015453000200788523,0.0847589881390797,0.8861115253138284,0.8671675554875339,0.8642283685508544,0.8700673669015264,767196,0.9917307393160953,0.004139415687642027,0.375,0.9926543401991852,0.9918407087408448,0.9917066364489252,0.9919708606662588,767196
riolink-cam,0.5577098815730612,0.3237128759559754,0.0076775704805936,0.909606242420958,0.6285350608465464,0.2207006472360441,0.8839555159532936,71568,0.49837553922839,0.35339496538570037,0.0018757182536833,0.8821630293414777,0.5839459838620864,0.1227872497833176,0.8577966780688067,71568,0.7591915854452881,0.2527946253071467,0.0103472852251428,0.992491732503216,0.9607609988109392,0.4938271604938271,0.9914055169825484,71568
sony-tv,0.6482640394377763,0.17376920976504137,0.25,0.8895903941238661,0.6684350118445077,0.48396081529387475,0.8086546013697471,51,0.606255244904142,0.18147659338249986,0.1643389134644723,0.8625344116689052,0.6289865408919486,0.4535867401682907,0.7455646029544495,51,0.9405070133875845,0.07387399875264437,0.5979940687800476,0.9916283674413228,0.9694332352461924,0.9189696270665129,0.9839829168264664,51
tapo-c100,0.8524610502886166,0.10930349978165481,0.0372387055521004,0.9094415787854832,0.8887847939703069,0.8841484792203437,0.892398693363131,5921,0.8270398031695831,0.11459864593924335,0.009654144820641,0.8825289965223062,0.8656541469662903,0.8608975004162164,0.8690891872639623,5921,0.984516105446084,0.03395888669855264,0.052126236164802,0.9925069539779628,0.9917719468739876,0.991552032518812,0.9919271908425596,5921
tapo-c200,0.8249126918256638,0.12400452545979887,-0.0,0.9136138963161636,0.8805257295022202,0.8128517543805065,0.8893795541977806,70322,0.7917550840775777,0.13221800480869908,-0.0,0.8873686784890487,0.8531646171425242,0.7618371486184549,0.8661962744220505,70322,0.9764676081298181,0.07650628140601375,0.0,0.9927053697295912,0.99118190299555,0.9853676752390405,0.9917966448471665,70322
xiaomi-cam,0.8707363304045874,0.07806487171062951,0.0968304110352653,0.907847382656272,0.8901175805327156,0.8864169471199972,0.8934608073764142,12849,0.8461925188117525,0.08326385170207436,0.0429154988050079,0.882934425511192,0.8670084474020748,0.8633613244510648,0.8700455661163778,12849,0.9881719712177236,0.024855152325069147,0.2117768595041321,0.9925237807399866,0.9918335067637876,0.9916666666666668,0.9919698899711786,12849
