ip_src,ip_dst,srcport,dstport,tp_proto,data_proto,data_type,data_len,entropy_shannon,entropy_renyi,entropy_tsallis,reason
10.42.0.157,10.42.0.1,6936,53,udp,dns,text,37.0,0.4389903352064102,0.3689126476468627,0.870708546384222,info:dns
10.42.0.1,10.42.0.157,53,6936,udp,dns,text,101.0,0.412956546839441,0.29647300084774475,0.8067934388155029,info:dns
10.42.0.157,216.239.36.223,55553,443,tcp,tls,unknown,182.0,0.5903634815443032,0.4160442955058494,0.9004444444444444,info:
216.239.36.223,10.42.0.157,443,55553,tcp,tls,unknown,1400.0,0.7710791364943924,0.6922296598928938,0.9784749153585719,info:
216.239.36.223,10.42.0.157,443,55553,tcp,data,unknown,1400.0,0.8414430218862685,0.7758648508618553,0.9864627247789619,info:
216.239.36.223,10.42.0.157,443,55553,tcp,data,unknown,1400.0,0.8286916100480396,0.7565293640876346,0.984930607300949,info:
216.239.36.223,10.42.0.157,443,55553,tcp,tls,unknown,251.0,0.7663893504715474,0.7254961564607441,0.9821009013627238,info:
10.42.0.157,216.239.36.223,55553,443,tcp,tls,unknown,118.0,0.6742366269495126,0.6364903111801299,0.970679012345679,info:
216.239.36.223,10.42.0.157,443,55553,tcp,tls,unknown,287.0,0.783022684131744,0.7420621322117303,0.983671875,info:
10.42.0.157,216.239.36.223,55553,443,tcp,tls,unknown,214.0,0.7706232341648265,0.7490670736971686,0.984293958652933,info:
216.239.36.223,10.42.0.157,443,55553,tcp,tls,unknown,1143.0,0.8813515520229545,0.856681864317794,0.9913522227044455,info:
216.239.36.223,10.42.0.157,443,55553,tcp,tls,unknown,102.0,0.680523486459912,0.6698012482046326,0.9756242568370987,info:
216.239.36.223,10.42.0.157,443,55553,tcp,tls,unknown,26.0,0.47169465778439823,0.46578979374583723,0.9244444444444444,info:
10.42.0.157,216.239.36.223,55553,443,tcp,data,unknown,1400.0,0.8895903941238661,0.8625344116689052,0.9916283674413227,info:
10.42.0.157,216.239.36.223,55553,443,tcp,tls,unknown,656.0,0.8632454230001092,0.8370364159606922,0.9903569270845594,info:
216.239.36.223,10.42.0.157,443,55553,tcp,tls,unknown,899.0,0.8666643167610537,0.8467293855316107,0.9908615518101964,info:
216.239.36.223,10.42.0.157,443,55553,tcp,tls,unknown,139.0,0.705115081542035,0.687850424486277,0.9779458097038437,info:
216.239.36.223,10.42.0.157,443,55553,tcp,tls,unknown,26.0,0.4962269728033513,0.4908747711321367,0.9342560553633218,info:
54.229.152.140,10.42.0.157,443,33203,tcp,tls,unknown,432.0,0.8348050814070879,0.8019835913800165,0.988288,info:
54.229.152.140,10.42.0.157,443,33203,tcp,tls,unknown,769.0,0.8616377306790552,0.8342808713865716,0.990208449610522,info:
142.250.74.99,10.42.0.157,443,49408,tcp,tls,unknown,73.0,0.6045739585136223,0.5943609377704336,0.962962962962963,info:
10.42.0.157,34.158.1.133,59467,4070,tcp,data,omit,11.0,0.25,0.25,0.75,info: small omit
34.158.1.133,10.42.0.157,4070,59467,tcp,data,omit,11.0,0.3509193652572006,0.3509193652572006,0.8571428571428572,info: small omit
10.42.0.157,142.250.74.3,35991,443,tcp,tls,unknown,23.0,0.4097016796023895,0.40230293989168775,0.8925619834710744,info:
10.42.0.157,44.230.7.32,32978,443,tcp,tls,text,517.0,0.3818293500416063,0.16433891346447235,0.5979940687800476,info:low entropy
216.58.207.206,10.42.0.157,443,42792,tcp,tls,unknown,73.0,0.6158417102422213,0.6020360058534515,0.9645061728395061,info:
44.230.7.32,10.42.0.157,443,32978,tcp,tls,unknown,1448.0,0.7977394756462395,0.7170179596570809,0.981239314905555,info:
44.230.7.32,10.42.0.157,443,32978,tcp,data,unknown,1448.0,0.8125329629471815,0.7365830006385414,0.9831681682972951,info:
44.230.7.32,10.42.0.157,443,32978,tcp,data,unknown,1200.0,0.8053589369240614,0.7312024674475865,0.9826584067659037,info:
44.230.7.32,10.42.0.157,443,32978,tcp,tls,unknown,1388.0,0.8394854519731177,0.7810069929562959,0.9868432765404405,info:
10.42.0.157,44.230.7.32,32978,443,tcp,tls,unknown,166.0,0.7531487423193779,0.7140393482669015,0.9809268728187647,info:
216.58.207.206,10.42.0.157,443,42789,tcp,tls,unknown,73.0,0.6286239953064989,0.6195118242011611,0.967784352399737,info:
44.230.7.32,10.42.0.157,443,32978,tcp,tls,unknown,91.0,0.6684350118445077,0.648480863679947,0.9725651577503429,info:
10.42.0.157,44.230.7.32,32978,443,tcp,tls,unknown,277.0,0.8119502658154328,0.7837886337039436,0.9870446578265508,info:
10.42.0.157,142.251.38.99,33897,443,tcp,tls,unknown,23.0,0.4272869792568112,0.4203212599230886,0.9027777777777778,info:
44.230.7.32,10.42.0.157,443,32978,tcp,tls,unknown,757.0,0.8712743613329398,0.8459488249991526,0.9908219117123531,info:
10.42.0.157,44.230.7.32,32978,443,tcp,tls,unknown,69.0,0.6433993734075297,0.6338962244849421,0.9702541914548405,info:
44.230.7.32,10.42.0.157,443,32978,tcp,tls,unknown,69.0,0.6253819884166595,0.611121085951407,0.96625,info:
10.42.0.157,35.190.88.7,57468,443,tcp,tls,unknown,23.0,0.3902410118609203,0.3823617111316961,0.88,info:
10.42.0.157,142.250.74.99,57823,80,tcp,http,unknown,323.0,0.6804964713889955,0.6289865408919486,0.9694332352461923,info:
142.250.74.99,10.42.0.157,80,57823,tcp,http,unknown,127.0,0.6203195208029816,0.582777476411004,0.9605059210118421,info:
54.229.152.140,10.42.0.157,443,33203,tcp,tls,unknown,409.0,0.8339177428421285,0.7942208479024762,0.9877728395061729,info:
10.42.0.157,54.229.152.140,33203,443,tcp,tls,unknown,35.0,0.4612645646992082,0.4413836865907443,0.9134948096885813,info:
10.42.0.157,54.229.152.140,33203,443,tcp,tls,unknown,38.0,0.5504820237218406,0.5416895086453218,0.9504,info:
54.229.152.140,10.42.0.157,443,33203,tcp,tls,unknown,40.0,0.45293958015225194,0.3718268351975108,0.8727810650887574,info:
216.58.207.206,10.42.0.157,443,42792,tcp,tls,unknown,56.0,0.6148475913044179,0.6005246108928365,0.9642074506939372,info:
142.250.74.170,10.42.0.157,443,60281,tcp,tls,unknown,73.0,0.6042729649723987,0.5749327588020339,0.95875,info:
10.42.0.157,224.0.0.251,5353,5353,udp,mdns,unknown,40.0,0.4228421636881176,0.3347589881390797,0.84375,info:
10.42.0.157,224.0.0.251,5353,5353,udp,mdns,unknown,355.0,0.6762219775610885,0.610923798410818,0.9662130574845516,info:
142.250.74.106,10.42.0.157,443,57100,tcp,tls,unknown,73.0,0.6291480219257887,0.6148579046593243,0.9669421487603306,info:
10.42.0.157,34.252.42.104,45968,443,tcp,tls,unknown,31.0,0.3983380432387531,0.32016390408206385,0.8305785123966942,info:
