year,base,type
2006,5.0,update_traffic
2020,9.8,update_traffic
2016,4.7,update_traffic
2021,9.1,update_traffic
2023,5.3,update_traffic
2013,5.0,update_traffic
2014,5.0,update_traffic
2017,7.5,update_traffic
2019,3.7,update_traffic
2022,7.5,update_traffic
2016,7.5,update_traffic
2023,6.5,update_traffic
2021,4.8,update_traffic
2006,5.0,update_traffic
2006,5.0,update_traffic
2022,5.9,update_traffic
2025,9.1,update_traffic
2017,7.5,update_traffic
2013,4.5,update_traffic
2024,7.5,update_traffic
2007,5.9,update_traffic
2021,4.8,update_traffic
2023,5.9,update_traffic
2013,7.5,update_traffic
2017,6.5,update_traffic
2014,6.5,update_traffic
2024,5.9,update_traffic
2014,5.0,update_traffic
2023,7.5,update_traffic
2021,5.3,update_traffic
2014,5.9,update_traffic
2023,5.3,update_traffic
2011,5.0,update_traffic
2012,4.3,update_traffic
2020,4.8,update_traffic
2023,5.3,update_traffic
2021,4.9,update_traffic
2021,6.7,update_traffic
2024,7.5,update_traffic
2023,7.5,update_traffic
2024,6.4,update_traffic
2023,9.1,update_traffic
2024,5.9,update_traffic
2019,7.8,update_traffic
2015,9.8,update_traffic
2015,6.4,update_traffic
2021,5.3,update_traffic
2019,6.5,update_traffic
2019,7.4,update_traffic
2022,6.7,update_traffic
2020,7.5,update_traffic
2021,5.3,update_traffic
2019,7.5,update_traffic
2018,5.9,update_traffic
2019,8.1,update_traffic
2020,5.4,update_traffic
2023,7.4,update_traffic
2024,6.7,update_traffic
2018,5.3,update_traffic
2008,4.3,update_traffic
2025,7.4,update_traffic
2021,5.3,update_traffic
2024,2.6,update_traffic
2014,5.0,update_traffic
2017,6.8,update_traffic
2009,4.3,update_traffic
2020,5.9,update_traffic
2023,6.7,update_traffic
2023,7.4,update_traffic
2025,5.3,update_traffic
2018,7.5,update_traffic
2013,7.5,update_traffic
2014,5.0,update_traffic
2015,4.3,update_traffic
2023,5.9,update_traffic
2015,7.5,update_traffic
2021,8.3,update_traffic
2023,5.3,update_traffic
2003,6.4,update_traffic
2022,5.3,update_traffic
2011,5.0,update_traffic
2014,4.3,update_traffic
2012,5.0,update_traffic
2005,5.0,update_traffic
